Name,Category,Investment Horizon,NAV,Date,NAV_Category
IL&FS Infrastructure Debt Fund Series 2B - Growth - Direct,Income,Short-Term Schemes,2197227.4448,"Mon, 30 Sep 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1C- Dividend Payout Option,Income,Short-Term Schemes,2185944.3903,"Sun, 31 Mar 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1C - Growth,Income,Short-Term Schemes,2185944.3803,"Sun, 31 Mar 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 2C - Growth - Direct,Income,Short-Term Schemes,2152886.1828,"Mon, 30 Sep 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 2A - Growth - Direct,Income,Short-Term Schemes,1715061.1862,"Mon, 30 Sep 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1A - Dividend payout option,Income,Short-Term Schemes,1680494.0463,"Mon, 31 Dec 2018 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1A - Growth,Income,Short-Term Schemes,1680494.0463,"Mon, 31 Dec 2018 00:00:00",High
IL&FS Infrastructure Debt Fund Series 3B - Growth - Direct,Income,Short-Term Schemes,1646541.3787,"Mon, 30 Sep 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 3B - Dividend payout option,Income,Short-Term Schemes,1646541.3613,"Mon, 30 Sep 2024 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1B - Growth,Income,Short-Term Schemes,1456756.8971,"Wed, 31 Mar 2021 00:00:00",High
IL&FS Infrastructure Debt Fund Series 1B - Dividend Payout,Income,Short-Term Schemes,1456756.8966,"Wed, 31 Mar 2021 00:00:00",High
IL&FS Infrastructure Debt Fund Series 3A - Growth - Direct,Income,Short-Term Schemes,1213045.0145,"Sat, 31 Dec 2022 00:00:00",High
IL&FS Infrastructure Debt Fund Series 3A - Dividend payout option - Direct,Income,Short-Term Schemes,1213044.969,"Sat, 31 Dec 2022 00:00:00",High
