Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains,Total_units,Value
16-02-22,Vedant Fashions,3149.0,7.49,1.07,0.39,866.0,950.0,934.85,7.95,906.75,4.71,3.636258660508083,neutral
08-02-22,Adani Wilmar,3600.0,5.73,56.3,3.92,230.0,274.0,265.2,15.3,354.35,54.07,15.652173913043478,neutral
31-01-22,AGS Transact,716.87,2.68,25.61,3.08,175.0,176.0,161.3,-7.83,125.10,-28.51,4.0964,long term
31-12-21,CMS Info System,1100.0,1.98,1.45,2.15,216.0,242.95,237.4,9.91,245.45,13.63,5.092592592592593,neutral
28-12-21,Supriya Lifesci,700.0,31.83,161.22,56.01,274.0,425.0,390.35,42.46,410.95,49.98,2.5547445255474455,short term
27-12-21,HP Adhesives,125.96,1.82,19.04,81.24,274.0,319.0,334.95,22.24,373.00,36.13,0.45970802919708026,short term
24-12-21,Data Patterns,601.2,190.86,254.22,23.14,585.0,864.0,754.85,29.03,649.70,11.06,1.0276923076923077,short term
22-12-21,Metro Brands,1376.63,8.49,3.02,1.13,500.0,436.0,493.55,-1.29,553.35,10.67,2.75326,short term
21-12-21,C. E. Info Syst,1039.61,196.36,424.69,15.2,1033.0,1581.0,1394.55,35.0,"1,434.45",38.86,1.0063988383349467,short term
20-12-21,Shriram Prop,600.0,1.85,4.82,12.72,118.0,94.0,99.4,-15.76,88.30,-25.17,5.084745762711864,long term
17-12-21,Rategain Travel,1354.0,8.42,42.04,8.08,425.0,364.8,340.5,-19.88,355.75,-16.29,3.1858823529411766,short term
14-12-21,Anand Rathi,660.0,2.5,25.42,7.76,550.0,584.45,583.5,6.09,566.85,3.06,1.2,short term
13-12-21,Tega Industries,619.23,215.45,666.19,29.44,453.0,753.0,725.5,60.15,474.65,4.78,1.366953642384106,short term
10-12-21,Star Health,7318.15,1.03,0.19,1.1,900.0,903.0,906.85,0.76,728.05,-19.11,8.131277777777777,neutral
26-11-21,Tarsons Product,1030.22,1.06,3.4,2.49,662.0,700.0,840.0,26.89,654.05,-1.2,1.5562235649546827,short term
23-11-21,Latent View,622.11,145.48,850.66,119.44,197.0,530.0,488.6,148.02,476.90,142.08,3.1579187817258885,short term
18-11-21,Sapphire Foods,2073.0,3.11,2.34,5.25,1180.0,1311.0,1216.05,3.06,"1,418.80",20.24,1.756779661016949,short term
